id,category,severity,location,comments,startDateTime,endDateTime,lastModDateTime,point
TIMS-206772,Works,Moderate,"[A12] EASTERN AVENUE EAST (RM2 ,RM3 ) (Havering)","Gallows Corner Flyover Refurbishment - [A12] Eastern Avenue East (All directions) at the junction of [A12] Colchester Road - Various restrictions, to facilitate the refurbishment of Gallows Corner Flyover. Full closure of the Flyover and the roundabout including all approaches in place.",2025-03-15T21:00:00Z,2026-03-31T21:59:00Z,,"[0.212921,51.592491]"
TIMS-223032,Works,Moderate,[A1205] BURDETT ROAD (E14 ) (Tower Hamlets),[A1205] Burdett Road (Both directions) at the junction of [A13] East India Dock Road - Lane restrictions in place to facilitate Thames Water works.,2026-01-20T08:00:00Z,2026-05-31T17:00:00Z,,"[-0.027991,51.512386]"
TIMS-213893,Works,Moderate,"[A23] STREATHAM HILL (SW16 ,SW2 ) (Lambeth)","[A23] Streatham Hill (Both directions) between [A205] Christchurch Road and Leigham Court Road - Various restrictions for TfL works. Lane restrictions, in place over the course of the works. There will be full overnight closures (Telford Avenue to Christchurch Road) between 22:00 to 05:00 on 15/03/2026, 16/03/2026, 17/05/2026 and 18/05/2026.",2025-08-03T21:00:00Z,2026-07-06T05:00:00Z,,"[-0.125602,51.440164]"
TIMS-200007,Works,Moderate,"KING WILLIAM STREET (EC3V,EC4N,EC4R) (City of London)",King William Street (Southbound) at the junction of Lombard Street - Road closed to facilitate urban realm works.,2024-07-08T07:00:00Z,2026-04-30T19:00:00Z,,"[-0.087718,51.512021]"
TIMS-216408,Works,Moderate,[A400] HAMPSTEAD ROAD (NW1 ) (Camden),[A400] Hampstead Road (Both directions) at the junction of Robert Street - Lane restrictions and closure of Varndell Street in place for HS2 works.,2025-09-04T13:21:00Z,2026-02-28T23:59:00Z,,"[-0.13886,51.530139]"
TIMS-221134,Network delays,Moderate,"[A101] ROTHERHITHE TUNNEL (E1W ,SE16 ) (Southwark,Tower Hamlets)","Rotherhithe Tunnel  - [A101] Rotherhithe Tunnel (Both directions) at the junction of [B205] Rotherhithe Street - When there is congestion inside the Rotherhithe Tunnel, the Tunnel may be subject to short intermittent closures.",2025-12-09T09:19:53Z,2025-12-09T23:59:59Z,,"[-0.047712,51.506201]"
TIMS-204461,Works,Moderate,"[A3203] LAMBETH BRIDGE (SE1 ,SW1P ) (Lambeth,Westminster)",[A3203] Lambeth Bridge (Eastbound) between [A3036] A 3036 and [A3212] Millbank - Various restrictions in place either side of the bridge for junction improvement works.,2025-12-05T20:45:00Z,2026-06-15T14:00:00Z,,"[-0.122625,51.494512]"
TIMS-224237,Works,Moderate,"[A5] KILBURN HIGH ROAD (NW6 ) (Brent,Camden)",[A5] Kilburn High Road (Southbound) at the junction of Grangeway - Road closed due to Thames Water works. ,2026-02-11T18:00:00Z,2026-02-13T18:00:00Z,,"[-0.198612,51.542589]"
TIMS-224271,Asset issues,Moderate,[A1206] COTTON STREET (E14 ) (Tower Hamlets),[A1206] Cotton Street (All directions) at the junction of [B123] Poplar High Street - Traffic signals are not working.,2026-02-12T07:28:00Z,2026-02-15T23:59:00Z,,"[-0.009209,51.508824]"
TIMS-223735,Works,Moderate,"[A3212] WHITEHALL (SW1A ,WC2N ) (Westminster)",[A3212] Whitehall (Northbound) between Parliament Square and Trafalgar Square - The road is closed to facilitate emergency gas works.,2026-02-10T10:44:00Z,2026-02-18T18:00:00Z,,"[-0.126379,51.504854]"
TIMS-224281,Works,Moderate,[A503] FOREST ROAD (E17 ) (Waltham Forest),[A503] Forest Road (All directions) at the junction of [B160] Wood Street - 4 way temporary traffic signals are in place due to Borough Works.,2026-02-12T09:17:00Z,2026-08-31T22:59:00Z,,"[-0.004989,51.591614]"
TIMS-222323,Works,Moderate,"[A1010] HIGH STREET (EN3 ,N9 ) (Enfield)",[A1010] High Street (Both directions) at the junction of Clarence Road - Multi-way temporary signals in operation due to borough roadworks. ,2026-01-06T10:15:00Z,2026-04-30T17:00:00Z,,"[-0.047271,51.642275]"
TIMS-221115,Works,Moderate,"[A11] MILE END ROAD (E1 ,E3 ) (Tower Hamlets)","[A11] Mile End Road (Eastbound) at the junction of [A1205] Burdett Road - Lane restrictions in place to facilitate Thames Water works. Additionally, Burdett Road is reduced to one lane in both directions.",2026-01-05T08:00:00Z,2026-02-15T18:00:00Z,,"[-0.034587,51.525164]"
TIMS-224238,Asset issues,Moderate,[A4201] PARKWAY (NW1 ) (Camden),[A4201] Parkway (All directions) at the junction of Arlington Road - Traffic signals at this location are not operating. ,2026-02-11T17:28:16Z,2026-02-11T23:59:59Z,,"[-0.144004,51.538529]"
TIMS-224034,Works,Moderate,"[A3031] ALBERT BRIDGE ROAD (SW11 ,SW3 ) (Kensington & Chelsea,Wandsworth)",[A3031] Albert Bridge Road (Both directions) at the junction of [A3212] Chelsea Embankment - The bridge is closed for local borough works.,2026-02-07T18:59:48Z,2026-02-07T23:59:59Z,,"[-0.167217,51.48322]"
TIMS-223982,Works,Moderate,"[A3216] QUEENSTOWN ROAD (SW11 ,SW1V ,SW8 ) (Wandsworth)",[A3216] Queenstown Road (Southbound) at the junction of [A3205] Battersea Park Road - Road closed  to facilitate Cadent Gas works. ,2026-02-06T17:15:00Z,2026-02-17T23:59:00Z,,"[-0.148382,51.477172]"
TIMS-222372,Works,Minimal,"[A2213] KIDBROOKE PARK ROAD (SE12 ,SE3 ,SE9 ) (Greenwich)",[A2213] Kidbrooke Park Road (Northbound) at the junction of Weigall Road - Temporary traffic signals in use to facilitate emergency SGN works. Weigall Road is also closed. ,2026-01-07T09:00:00Z,2026-02-15T23:59:00Z,,"[0.026326,51.459386]"
TIMS-221119,Works,Minimal,"[A3] BATTERSEA RISE (SW11 ,SW18 ) (Wandsworth)","[A3] Battersea Rise (Both directions) at the junction of Bolingbroke Grove - Temporary traffic signals in use to facilitate Thames Water works (one night, 21:00 to 05:00).",2026-02-11T21:00:00Z,2026-02-13T05:00:00Z,,"[-0.171188,51.459917]"
TIMS-224283,Works,Minimal,[A23] STREATHAM HIGH ROAD (SW16 ) (Lambeth),[A23] Streatham High Road (Southbound) at the junction of Leigham Court Road - Surface damage reported at this location. ,2026-02-12T09:30:00Z,2026-02-15T17:30:00Z,,"[-0.1271,51.437716]"
TIMS-221152,Works,Minimal,"[A24] BALHAM HIGH ROAD (SW12 ,SW17 ) (Wandsworth)","[A24] Balham High Road (Both directions) at the junction of Balham Park Road - Two-way temporary traffic signals in operation at this location as part of Thames Water (new connection) major scheme works. These works are taking place at multiple locations along the A24 in Tooting and Balham, with various restrictions in place.",2026-01-21T10:00:00Z,2026-05-15T22:59:00Z,,"[-0.154354,51.44171]"
TIMS-222286,Works,Minimal,[A24] TOOTING HIGH STREET (SW17 ) (Wandsworth),"[A24] Tooting High Street (Both directions) at the junction of Trevelyan Road - Contraflow in place at this location as part of Thames Water (new connection) major scheme works. These works are taking place at multiple locations along the A24 in Tooting and Balham, with various restrictions in place. ",2026-01-12T07:00:00Z,2026-03-13T23:59:00Z,,"[-0.171515,51.424345]"
TIMS-210389,Works,Minimal,"[A40] WESTWAY (W10 ,W12 ) (Hammersmith & Fulham,Kensington & Chelsea)",[A40] Westway (Eastbound) at the junction of [A3220] West Cross Route - The exit slip road to the Northern Roundabout is closed to facilitate repair works. ,2025-08-27T16:00:00Z,2026-03-31T16:00:00Z,,"[-0.221845,51.515699]"
TIMS-222699,Works,Minimal,"[A501] MARYLEBONE ROAD (NW1 ,W1U ,W2 ) (Westminster)","[A501] Marylebone Road (Both directions) between Cosway Street and Balcombe Street - Various restrictions, including lane closures and side road closures, during Cycleway works.",2026-01-13T20:32:00Z,2026-06-04T04:00:00Z,,"[-0.163108,51.521125]"
TIMS-223693,Works,Minimal,[A41] FINCHLEY ROAD (NW3 ) (Camden),[A41] Finchley Road (Southbound) at the junction of Arkwright Road - Lanes one and two of three are closed due to Thames Water works. ,2026-02-02T15:19:00Z,2026-02-13T18:00:00Z,,"[-0.183632,51.550807]"
TIMS-221374,Works,Minimal,"[A302] BRESSENDEN PLACE (SW1E ,SW1W ) (Westminster)",[A302] Bressenden Place (Southbound) at the junction of [A302] Victoria Street - Lane closures are in place to facilitate works to the pavement. ,2026-01-05T08:00:00Z,2026-06-03T05:30:00Z,,"[-0.142066,51.497543]"
TIMS-223836,Works,Minimal,[A400] HAMPSTEAD ROAD (NW1 ) (Camden),[A400] Hampstead Road (Both directions) at the junction of Prince Of Wales Passage - Temporary traffic signals in place to facilitate UKPN works. ,2026-02-04T08:10:00Z,2026-02-12T23:59:00Z,,"[-0.138616,51.527984]"
